"","all_agencies"
"2098","Mills Police Department (WY)"
"2099","Cleveland County Sheriff's Office (NC)"
"2100","Greenfield Police Department (NH)"
"2101","Peterborough Police Department"
"2102","Hardeeville Police (SC)"
"2103","Fort Walton Beach Police Department (FL)"
"2104","Tupelo Police Department (MS)"
"2105","Butte Police Department (MT)"
"2106","Williams County Sheriff's office (OH)"
"2107","Lafayette County Sheriff's Office (MO)"
"2108","US Homeland Security (CA)"
"2109","Schenectady Police Department (NY)"
"2110","Tiverton Police Department (RI)"
"2111","Fall River Police Department (RI)"
"2112","Kentwood Police Department (MI)"
"2113","Barren County Sheriff's Office (KY)"
"2114","Iredell County Sheriff's Office (NC)"
"2115","York County Sheriff's Office (PA)"
"2116","Marquette County Sheriff's Office (MI)"
"2117","US Customs and Border Protection (AZ)"
"2118","Irondale Police Department (AL)"
"2119","U.S. Drug Enforcement Administration (MO)"
"2120","Cape Coral Police Department (FL)"
"2121","Eufaula Police Department (AL)"
"2122","Muncie Police Department (IN)"
"2123","Pine Ridge Tribal Police Department (SD)"
"2124","Coweta County Sheriff's Office (GA)"
"2125","Madison County Sheriff's Office (KY)"
"2126","Tualatin Police Department (OR)"
"2127","Rockingham County Sheriff's Department (NC)"
"2128","Clinton Police Department (NC)"
"2129","Lincoln AL Police Department (AL)"
"2130","Lansing Police Department (IL)"
"2131","Caseyville Police Department (IL)"
"2132","Sneads Police Department (FL)"
"2133","Cass County Sheriff's Office (MO)"
"2134","Northern Arizona University Police Department (AZ)"
"2135","Hallandale Beach Police Department (FL)"
"2136","Oregon City Police Department (OR)"
"2137","Florence County Sheriff's Office (SC)"
"2138","South Carolina Law Enforcement Division (SC)"
"2139","Siskiyou County Sheriff's Office (CA)"
"2140","FBI (IL)"
"2141","Pontotoc County Sheriff's Office (OK)"
"2142","Plymouth County Sheriff's Department (MA)"
"2143","Tarrant County Sheriff's Office (TX)"
"2144","Jackson County Sheriff's Office (MS)"
"2145","Weirton Police Department (WV)"
"2146","Gretna Police Department (LA)"
"2147","Dallas County Sheriff's Department"
"2148","Buffalo Police Department (MO)"
"2149","Anderson Police Department (SC)"
"2150","Maury City Police Department (TN)"
"2151","Pinal County Sheriff's Office (AZ)"
"2152","Wausau Police Department (WI)"
"2153","Harris County Constable Precinct 5 (TX)"
"2154","Unified Police Department (UT)"
"2155","Chesapeake Police Department (VA)"
"2156","Seguin Police Department (TX)"
"2157","Antigo Police Department (WI)"
"2158","U.S. Marshals Service (KS)"
"2159","Silver City Police Department (NM)"
"2160","Johnson County Sheriff's Office (AR)"
"2161","Blount County Sheriff's Office (AL)"
"2162","Marshall County Sheriff's Office"
"2163","Snead Police Department"
"2164","Blountsville Police Department (AL)"
"2165","Greenbelt Police Department (MD)"
"2166","Troy Police Department (NY)"
"2167","Lake County Sheriff's Office (IL)"
"2168","McHenry County Sheriff's Office (IL)"
"2169","Lake Elsinore Police Department (CA)"
"2170","Comanche County Sheriff's Office (OK)"
"2171","McPherson County Sheriff's Department (KS)"
"2172","Llano County Sheriff's Office (TX)"
"2173","Holmes County Sheriff's Office (FL)"
"2174","Franklin County Sheriff's Department (IL)"
"2175","Rotterdam Police Department (NY)"
"2176","Franklin Township Police Department (NJ)"
"2177","Lake Hallie Police Department (WI)"
"2178","Gallatin Police Department (officer did the shooting) Sumner County Sheriff's Department (attacked with ax) (TN)"
"2179","Jackson County Sheriff's Office (OH)"
"2180","West Springfield Police Department (MA)"
"2181","Auburn Police Department (AL)"
"2182","Caldwell County Sheriff's Office (TX)"
"2183","Jackson Police Department (GA)"
"2184","Aitkin County Sheriff's Office (MN)"
"2185","Clearlake Police Department (CA)"
"2186","Lee's Summit Police Department (MO)"
"2187","Winslow Police Department (AZ)"
"2188","Grundy Police Department (VA)"
"2189","Lowell Police Department (MA)"
"2190","Pueblo of Laguna Police Department (NM)"
"2191","Thornton Police Department (CO)"
"2192","Fredericksburg Police Department (VA)"
"2193","Stamford Police Department (CT)"
"2194","Gainesville Police Department (FL)"
"2195","Jefferson County Sheriff's Office (ID)"
"2196","Midland Police Department (PA)"
"2197","Ohioville Police Department (PA)"
"2198","Russellville Police Department (KY)"
"2199","Chester Police Department (PA)"
"2200","Lenoir City Police Department (TN)"
"2201","West Covina Police Department (CA)"
"2202","Piedmont Police Department (AL)"
"2203","Newark (CA)"
"2204","CA Police Department (CA)"
"2205","Butler County Sheriff's Office (KS)"
"2206","Clinton Police Department (IL)"
"2207","Colorado State Trooper (CO)"
"2208","Carbon County Sheriff's Office (MT)"
"2209","Eddy County Sheriff's Office (NM)"
"2210","Bismarck Police Department (ND)"
"2211","Azle Police Department (TX)"
"2212","Cheektowaga Police Department (NY)"
"2213","Montgomery County Sheriff's Office (AR)"
"2214","Kenly Police Department (NC)"
"2215","Johnstown Police Department (PA)"
"2216","Gautier Police Department (MS)"
"2217","Euliss Police Department (TX)"
"2218","Ashville Police Department (AL)"
"2219","Wilson County Sheriff's Department (TX)"
"2220","Roanoke County Police Department (VA)"
"2221","Evans Police Department (CO)"
"2222","Harvey County Sheriff's Office (KS)"
"2223","Blue Springs Police Department (MO)"
"2224","Manteca Police Department (CA)"
"2225","Fairborn Police Department (OH)"
"2226","Tishomingo County Sheriff's Office (MS)"
"2227","Mississippi Highway Patrol"
"2228","Mississippi Bureau of Narcotics (MS)"
"2229","Reno (TX)"
"2230","TX Police Department (TX)"
"2231","Commerce Police Department (GA)"
"2232","Mena Police Department (AR)"
"2233","Republic Police Department (MO)"
"2234","Fairfield Police Department (CT)"
"2235","Lea County Sheriff's Office (NM)"
"2236","Jal Police Department (NM)"
"2237","Donna Police Department (TX)"
"2238","Urbandale Police Department (IA)"
"2239","Buckingham County Sheriff's Department (VA)"
"2240","Fulton County Sheriff's Office (GA)"
"2241","Riverdale Police Department (GA)"
"2242","Maiden Police Department (NC)"
"2243","North Slope Borough Police Department (AK)"
"2244","Roseville Police Department (MN)"
"2245","Henderson County Sheriff's Office (TX)"
"2246","Colonie Police Department (NY)"
"2247","Upland Police Department"
"2248","Chester Township Police Department (PA)"
"2249","Lonoke County Sheriff's Office (AR)"
"2250","Manchester Township Police"
"2251","Toms River Police (NJ)"
"2252","Kenton Police Department (OH)"
"2253","Addis Police Department (LA)"
"2254","U.S. Marshals (FL)"
"2255","Rosebud Sioux Tribe Law Enforcement Services (SD)"
"2256","Carbondale Police Department (PA)"
"2257","Port Authority Police (PA)"
"2258","Saginaw Police Department (TX)"
"2259","Collier County Sheriff's Office (FL)"
"2260","Jackson County Sheriff's (MO)"
"2261","Catoosa County Sheriff's Office"
"2262","LaFayette Police Department (GA)"
"2263","Mountain Pine Police Department (AR)"
"2264","Georgia Department of Public Safety (GA)"
"2265","Loudon County Sheriff's Office (TN)"
"2266","Dearborn Police Department (MI)"
"2267","Johnson County Sheriff's Office (TX)"
"2268","Federal Bureau of Investigation (OR)"
"2269","Chilton County Sheriff's Office (AL)"
"2270","Clanton Police Department (AL)"
"2271","Gillespie County Sheriff's Office (TX)"
"2272","Kerrville Police Department"
"2273","Lone Star Fugitive Task Force"
"2274","St. Landry Parish Sheriff's Office (LA)"
"2275","Opelousas Police Department"
"2276","Port Barre Police Department"
"2277","Louisiana State Police"
"2278","Melville Police Department (LA)"
"2279","Forney Police Department (TX)"
"2280","Union City Police Department (CA)"
"2281","Medford Police Department (OR)"
"2282","Department of Homeland Security (FL)"
"2283","Rainbow City Police Department (AL)"
"2284","Federal Bureau of Investigation (MI)"
"2285","Elkins Police Department (WV)"
"2286","Cle Elum Police Department (WA)"
"2287","Sevier County Sheriff's Office (TN)"
"2288","Town of Geneva Police Department (WI)"
"2289","Zion Police Department (IL)"
"2290","Daviess County Sheriff's Office (KY)"
"2291","Upper Darby Police Department (PA)"
"2292","Livingston Police Department (MT)"
"2293","Sweetwater Police Officer (TX)"
"2294","Rawlins Police Department (WY)"
"2295","Merced County Sheriff's Department (CA)"
"2296","Suffolk Police Department (VA)"
"2297","St. Mary Parish Sheriff's Office (LA)"
"2298","George County Sheriff's Office (MS)"
"2299","Homedale Police Department (ID)"
"2300","Palo Alto Police Department (CA)"
"2301","Porterville Police Department (CA)"
"2302","Franklin Parish Sheriff's Office (LA)"
"2303","Lansing Police Department (MI)"
"2304","Ludlow Police Department (KY)"
"2305","Drug Enforcement Administration (VT)"
"2306","Massachusetts State Police Department (NH)"
"2307","Northwood Police Department (OH)"
"2308","Oregon Police Division (OH)"
"2309","Dallas (NC)"
"2310","NC Police Department (NC)"
"2311","Milan Police Department (TN)"
"2312","Mount Hope Police Department (WV)"
"2313","Mountain View Police Department (CO)"
"2314","University of North Texas Police Department (TX)"
"2315","Healdton Police Department (OK)"
"2316","Stroud Area Regional Police (PA)"
"2317","Marina Police Department (CA)"
"2318","Sportsmen Acres Police Department (OK)"
"2319","Nelson County Sheriff's Office (VA)"
"2320","Amherst County Sheriff's Office"
"2321","Amherst Police Department (VA)"
"2322","Cleveland Metroparks Ranger Department (OH)"
"2323","Richmond Heights Police Department (OH)"
"2324","Deuel County Sheriff's Office (NE)"
"2325","Deming Police Department (NM)"
"2326","Bangor Police Department (ME)"
"2327","Jal Police Department (TX)"
"2328","Dekalb County Sheriff's Department (MO)"
"2329","Seagoville Police Department (TX)"
"2330","Stone County Sheriff's Office (MO)"
"2331","Paradise Police Department (CA)"
"2332","Ozark Police Department (MO)"
"2333","Christian County Sheriff's Department"
"2334","Nixa Police Department"
"2335","Greene County Sheriff's Department (MO)"
"2336","Columbia Heights Police Department (MN)"
"2337","Fridley Police Department (MN)"
"2338","Colbert Police Department (OK)"
"2339","Coweta County Sheriff's Department (GA)"
"2340","Hammond Police Department (IN)"
"2341","Opa-locka Police Department (FL)"
"2342","Little Egg Harbor Police Department (NJ)"
"2343","Early County Sheriff's Office (GA)"
"2344","Cayce Department of Public Safety (SC)"
"2345","Leon County Sheriff's Office (TX)"
"2346","Philadelphia Housing Authority Police Department (PA)"
"2347","Harnett County Sheriff's Office (NC)"
"2348","Baltimore County Police Department (DC)"
"2349","Beaverhead County Sheriff's Office (MT)"
"2350","US Marshals (WV)"
"2351","Spartanburg Methodist College Campus Safety Department (SC)"
"2352","Clark County School District Police Department (NV)"
"2353","Lakeshire Police Department (MO)"
"2354","Skiatook Police Department (OK)"
"2355","University of California Police Department (CA)"
"2356","Avoyelles Parish Ward 2 (LA)"
"2357","Prince George's County Police Department (DC)"
"2358","Forest Heights Police Department (DC)"
"2359","Hutchinson Police Department (MN)"
"2360","McLeod County Sheriff's Office"
"2361","Adams County Sheriff's Office (ID)"
"2362","Special police (DC)"
"2363","Washington DC (DC)"
"2364","Opelika Police Department (AL)"
"2365","Cherokee County Sheriff's Office (OK)"
"2366","United States Marshals Service (KY)"
"2367","Dixie County Sheriff's Office (FL)"
"2368","Unknown (OR)"
"2369","Hohenwald Police Department (TN)"
"2370","San Diego Harbor Police Department (CA)"
"2371","Southeastern Pennsylvania Transportation Authority Police Department (PA)"
"2372","Pickens County Sheriff's Office (GA)"
"2373","Kenosha County Sheriff's Office (WI)"
"2374","New Paltz Police Department (NY)"
"2375","Muskingum County Sheriff's Office (OH)"
"2376","Midwest City Police Department (OK)"
"2377","US Customs and Border Protection (CA)"
"2378","Sierra County Sheriff's Office (NM)"
"2379","Osage County Sheriff's Office (KS)"
"2380","Harlingen Police Department (TX)"
"2381","Palm Beach Gardens Police Department (FL)"
"2382","York Police Department (PA)"
"2383","U.S. Immigration and Customs Enforcement (CA)"
"2384","Hall County Sheriff's Department (GA)"
"2385","Columbus Police Department (MS)"
"2386","Parma Heights Police Department"
"2387","Conecuh County Sheriff's Office (AL)"
"2388","Emerson Police Department (GA)"
"2389","Seaside Police Department (CA)"
"2390","Brookhaven Police Department (MS)"
"2391","Lisle Police Department (IL)"
"2392","Beverly Police Department (MA)"
"2393","Monterey Police Department (CA)"
"2394","Woodbridge Police Department (NJ)"
"2395","Hurst Police Department (TX)"
"2396","Muscle Shoals Police Department (AL)"
"2397","Sheffield Police Department (AL)"
"2398","Randall County Sheriff's Office (TX)"
"2399","Rockport Police Department (TX)"
"2400","Kanabec County Sheriff's Office (MN)"
"2401","Ponder Police Department (TX)"
"2402","Lovington Police Department (NM)"
"2403","Fountain Police Department (CO)"
"2404","McKinney Police Department (TX)"
"2405","Sand City Police Department (CA)"
"2406","Shelby County Sheriff's Department (IN)"
"2407","Chatom Police Department (AL)"
"2408","Tulalip Tribal Police Department (WA)"
"2409","Slidell Police Department (LA)"
"2410","Dickson County Sheriff's Office (TN)"
"2411","Rockcastle County Sheriff's Office (KY)"
"2412","Lawrence County Sheriff's Office (SD)"
"2413","U.S. Marshals Violent Offender Task Force (US Marshals Service) Alexandria Police Department (LA)"
"2414","Rapides Parish Sheriff's Office) (LA)"
"2415","St. Bernard Parish Sheriff's Office (LA)"
"2416","Unknown (KY)"
"2417","Washington County Sheriff's Office (IA)"
"2418","Grant County Sheriff's Office (OK)"
"2419","tactical team (TX)"
"2420","Talladega County Sheriff's Office (AL)"
"2421","Broomfield Police Department (CO)"
"2422","Federal Bureau of Investigation (PA)"
"2423","Potsdam Police Department (NY)"
"2424","Ashwaubenon Department of Public Safety (WI)"
"2425","Paris Police Department (TN)"
"2426","Lathrup Village Police Department (MI)"
"2427","Hoopa Tribal Police (CA)"
"2428","Mitchell Police Division (SD)"
"2429","Merrimack Police Department (NH)"
"2430","Parker County Sheriff's Office (TX)"
"2431","West Baden Police Department (IN)"
"2432","Lake Arthur Police Department (NM)"
"2433","Twinsburg Police Department (OH)"
"2434","Bluefield Police Department (WV)"
"2435","Harris County Sheriff's Office (GA)"
"2436","Cushing Police Department (OK)"
"2437","Spanish Fork Police Department (UT)"
"2438","Hendersonville Police Department (TN)"
"2439","Chester County Sheriff's Office (PA)"
"2440","Santa Fe Police Department"
"2441","Santa Fe County Sheriff's Office (NM)"
"2442","Archdale Police Department (NC)"
"2443","Arab Police Department (AL)"
"2444","King George County Sheriff's Office (VA)"
"2445","Itasca County Sheriff's Office (MN)"
"2446","Mason County Sheriff's Office (WA)"
"2447","Wake Forest Police Department (NC)"
"2448","Tuscaloosa Police Department (AL)"
"2449","Washington County Sheriff's Office (OH)"
"2450","Bloomfield Police Department (MI)"
"2451","Warren Police Department (MI)"
"2452","Maggie Valley Police Department (NC)"
"2453","Haywood County Sheriff's Office"
"2454","Waynesville Police Department (NC)"
"2455","Stevens County Sheriff's Office (WA)"
"2456","Jefferson County IN Sheriff's Office (IN)"
"2457","Manchester Police Department (CT)"
"2458","Boerne Police Department (TX)"
"2459","Prince George's Police Department (MD)"
"2460","Pittston Police Department (PA)"
"2461","Ardmore Police Department (OK)"
"2462","Gaston County Police Department (NC)"
"2463","Brookshire Police Department (TX)"
"2464","Dorchester County Sheriff's Office (SC)"
"2465","Mineral County Sheriff's Office (MT)"
"2466","Elsmere Police Department (KY)"
"2467","Greenfield Police Department (WI)"
"2468","Champaign Police Department (IL)"
"2469","US Border Patrol (CA)"
"2470","Powhatan County Sheriff's Office (VA)"
"2471","South Londonderry Police Department (PA)"
"2472","Dallas County Sheriff's Office (TX)"
"2473","Nitro Police Department (WV)"
"2474","Douglas County Sherrif's Department (NV)"
"2475","Worcester Police Department (MA)"
"2476","Dona Ana County Sheriff's Office (NM)"
"2477","U.S. Marshals Service (LA)"
"2478","Logan Police Department (UT)"
"2479","Manila Police Department (AR)"
"2480","Bradley County Sheriff's Department (TN)"
"2481","Houma Police Department"
"2482","Seneca Police Department (SC)"
"2483","Decatur County Sheriff's Office (GA)"
"2484","Stokes County Sheriff's Department (NC)"
"2485","Converse County Sheriff's Office (WY)"
"2486","Plymouth Police Department (MN)"
"2487","Montgomery County OH Sheriff's Office (OH)"
"2488","Green County Sheriff's Department (WI)"
"2489","Wayne County Sheriff's Office (GA)"
"2490","Chambers County Sheriff's Office (TX)"
"2491","University of Cincinnati Police Department (OH)"
"2492","Colby Police Department (KS)"
"2493","Thomas County Sheriff's Office (KS)"
"2494","Farmersville Police Department (CA)"
"2495","Cheyenne Police Department (WY)"
"2496","Homestead Police Department (FL)"
"2497","Opp Police Department (AL)"
"2498","Moreno Valley Police Department (CA)"
"2499","Trumbull County Sheriff's Office (OH)"
"2500","River Forest Police Department (IL)"
"2501","Parowan Police Department (UT)"
"2502","Stonewall Police Department (MS)"
"2503","Ashe County Sheriff's Office (NC)"
"2504","Hidalgo County Sheriff's Office (TX)"
"2505","Elizabethtown Police Department (KY)"
"2506","Utah State Highway Patrol (UT)"
"2507","Haverhill Police Department (NH)"
"2508","West Virginia State Police Department (WV)"
"2509","ATF (OR)"
"2510","Weston Police Department (WV)"
"2511","Franklin Police Department (NC)"
"2512","Saratoga County Sheriff's Office (NY)"
"2513","Federal law enforcement agents (NY)"
"2514","York-Poquoson Sheriff's Office (VA)"
"2515","Massachusetts State Police Department (MA)"
"2516","Neptune Police Department (NJ)"
"2517","Spirit Lake Tribal Police Department (ND)"
"2518","Kokomo Police Department (IN)"
"2519","Hackensack Police Department (NJ)"
"2520","Columbia Police Department (TN)"
"2521","Tomball Police Department (TX)"
"2522","Findlay Police Department (OH)"
"2523","Beech Grove Police Department (IN)"
"2524","Woodland Police Department (WA)"
"2525","Melbourne Police Department (FL)"
"2526","Watsonville Police Department (CA)"
"2527","North Port Police Department (FL)"
"2528","Monongalia County Sheriff's Department (WV)"
"2529","Ellis County Sheriff's Department (TX)"
"2530","Valencia County Sheriff's Department (NM)"
"2531","Byram Police Department (NJ)"
"2532","Palestine Police Department (TX)"
"2533","Lyndhurst Police Department (NJ)"
"2534","Louisa Police Department (KY)"
"2535","Carrolton Police Department (GA)"
"2536","Trenton Police Department (MI)"
"2537","Lancaster County Sheriff's Department (SC)"
"2538","Monmouth County Emergency Response Team (NJ)"
"2539","Putnam County Sheriff's Department (GA)"
"2540","Federal Bureau of Investigation (LA)"
"2541","Apache County Sheriff's Office (AZ)"
"2542","Pennsylvania State Police Department (PA)"
"2543","South Carolina State Law Enforcement Division (SC)"
"2544","Campbell County Sheriff's Office (WY)"
"2545","Summit County Sheriff's Office (OH)"
"2546","Arkansas Department of Community Correction (AR)"
"2547","Harvey Police Department (IL)"
"2548","St. Johns County Sheriff's Office (FL)"
"2549","Kalamazoo County Sheriff's Office"
"2550","Portage Police Department (MI)"
"2551","U.S. Marshals Service (HI)"
"2552","Enfield Police Department (NC)"
"2553","Prince George's County Sheriff's Office (MD)"
"2554","Lino Lakes Police Department (MN)"
"2555","Oswego County Sheriff's Department (NY)"
"2556","Beacon Police Department (NY)"
"2557","Gwinnett County Sheriff's Department (GA)"
"2558","Kennewick Police Department/Tri-City Swat Team (WA)"
"2559","Roosevelt Police Department (UT)"
"2560","Kentucky State Police Department (KY)"
"2561","Smyrna Police Department (DE)"
"2562","Grady County Sheriff's Department (OK)"
"2563","Greensville County Sheriff's Office (VA)"
"2564","Marion Police Department (IL)"
"2565","Illinois State Police"
"2566","Williamson County Sheriff's Department (IL)"
"2567","U.S. Immigration and Customs Enforcement (MI)"
"2568","Fountain Valley Police Department (CA)"
"2569","Oklahoma Department of Wildlife Conservation (OK)"
"2570","Victoria Police Department (TX)"
"2571","Choctaw County Sheriff's Office (OK)"
"2572","Hugo Police Department (OK)"
"2573","Bisbee Police Department (AZ)"
"2574","Wilmore Police Department (KY)"
"2575","Sidney Police Department (NE)"
"2576","Panama City Police Department (FL)"
"2577","Hagerstown Police Department (MD)"
"2578","Shafter Police Department (CA)"
"2579","Gibraltar Police Department (MI)"
"2580","Carson City Police Department (CO)"
"2581","University of Missouri Police (MO)"
"2582","Affton Police Department (MO)"
"2583","Sampson County Sheriff's Office (NC)"
"2584","Tehama County Sheriff's Department (CA)"
"2585","Creek County Sheriff's Department (OK)"
"2586","Bristow Police Department (OK)"
"2587","Tippecanoe County Sheriff's Department (IN)"
"2588","Bonneville County (ID)"
"2589","U.S. Forest Service (WA)"
"2590","Warner Police Department (OK)"
"2591","Frederick County Sheriff's Office (VA)"
"2592","Rock Island Police Department (IL)"
"2593","Metropolis Police Department (IL)"
"2594","City of Albany Police Department (NY)"
"2595","Hawthorne Police Department (CA)"
"2596","Hamilton Police Department (NJ)"
"2597","National Security Administration Police Department (MD)"
"2598","Culpeper Police Department (VA)"
"2599","Boulder City Police Department (NV)"
"2600","Encinitas Police Department (CA)"
"2601","Webster Police Department (MA)"
"2602","Oxnard Police Department (CA)"
"2603","Saint Lucie County Sheriff's Office (FL)"
"2604","Gardner Police Department (KS)"
"2605","Johnsonville Police Department (SC)"
"2606","Wisconsin State Police (WI)"
"2607","Clay County Sheriff's Office (IN)"
"2608","Cottonwood Police Department (AZ)"
"2609","Orleans County Sheriff's Office (NY)"
"2610","Navajo Nation Police Department (AZ)"
"2611","Jefferson Parish Police Department (LA)"
"2612","Lawrence County Sheriff's Office (AL)"
"2613","U.S. Border Patrol (WA)"
"2614","Canyon County Police Department (ID)"
"2615","Onalaska Police Department (TX)"
"2616","Sacramento Sheriff's Office"
"2617","Sacramento Police Department"
"2618","Sacramento Sheriff's SWAT (CA)"
"2619","Bladenboro Police Department (NC)"
"2620","Branford Police Department (CT)"
"2621","Pike County Sheriff's Office (MS)"
"2622","Kenosha Police Department (WI)"
"2623","DC Metro Transit Police (DC)"
"2624","Cecil County Sheriff's Office (MD)"
"2625","Port Wentworth Police Department (GA)"
"2626","Moffat County Sheriff's Office (CO)"
"2627","North Carolina Alcohol Law Enforcement (NC)"
"2628","Homeland Security,Transylvania County Sheriff's Department (NC)"
"2629","Sulphur Springs Police Department (TX)"
"2630","Metro Fugitive Task Force (NE)"
"2631","Harris County Attorney's Office (TX)"
"2632","Jackson County SWAT (MS)"
"2633","Charles County Sheriff's Office (MD)"
"2634","Riverside County Sheriff's Department Office (AZ)"
"2635","Boone County Sheriff's Office (MO)"
"2636","Wellston Police Department (MO)"
"2637","Worth County Sheriff's Office (GA)"
"2638","Indiana State Police Department (IN)"
"2639","Paulding County Sheriff's Office"
"2640","US Marshals (GA)"
"2641","Catasauqua Police Department (PA)"
"2642","Denham Springs Police Department (LA)"
"2643","Hillbrook Police Department (AL)"
"2644","Coconut Creek Police Department (FL)"
"2645","Grapevine Police Department (TX)"
"2646","Tewksbury Police Department (MA)"
"2647","Gastonia Police Department (NC)"
"2648","Del Rio Police Department (TX)"
"2649","Provo Police Department (UT)"
"2650","Iuka Police department (MS)"
"2651","Carroll County Sheriff's Office (TN)"
"2652","Port St. Joe Police Department (FL)"
"2653","Tallapoosa County Sheriff's Office (AL)"
"2654","Garfield County Sheriff's Office (CO)"
"2655","Maine State Police Department (ME)"
"2656","Nocona Police Department (TX)"
"2657","Clarkstown Police Department (NY)"
"2658","U.S. Marshals Task Force (AZ)"
"2659","Tempe Police Department"
"2660","Chandler Police Department"
"2661","Emeryville Police Department (CA)"
"2662","Wichita County Sheriff's Office (TX)"
"2663","Douglas Police Department (GA)"
"2664","Victor Valley Sheriff's Office (CA)"
"2665","Hummelstown Police Department (PA)"
"2666","Bay City Police Department (MI)"
"2667","Yellowstone County sheriff's Office (MT)"
"2668","United States Marshal"
"2669","Wyoming Police Department (MI)"
"2670","Rosenberg Police Department (TX)"
"2671","Greenlee County Sheriff's Office (AZ)"
"2672","Clifton Police Department (AZ)"
"2673","Lynn County Sheriff's Office (TX)"
"2674","New Hope Police Department (MN)"
"2675","South Jersey Police Department (NJ)"
"2676","Rexburg Police Department (ID)"
"2677","Levelland Police Department (TX)"
"2678","Lauderhill Police Department (FL)"
"2679","Derry Police Department (NH)"
"2680","Mississippi Gaming Commission (MS)"
"2681","Weymouth Police Department (MA)"
"2682","Maricopa Police Department (AZ)"
"2683","Magoffin County Sheriff's Office (KY)"
"2684","Department of Veterans Affairs (OK)"
"2685","Hennepin County Sheriff's Office (MN)"
"2686","Bloomington Police Department (MN)"
"2687","Old Bridge Police Department (NJ)"
"2688","Louis County Police Department (MO)"
"2689","Jefferson County Police Department"
"2690","Franklin County Police Department (MO)"
"2691","Jourdanton Police Department (TX)"
"2692","Arcola Police Department (IL)"
"2693","England Police Department (AR)"
"2694","Yellowstone County Sheriff's Office (MT)"
"2695","Davis County Sheriff's Office (UT)"
"2696","Union County Sheriff's Office (AR)"
"2697","Rosemont Police Department (IL)"
"2698","Freeport Police Department (TX)"
"2699","Norfolk NE Police Department (NE)"
"2700","Saline County Sheriff's Department (KS)"
"2701","Monroe County Sheriff's Office (FL)"
"2702","Missoula County Sheriff's Office (MT)"
"2703","Miramar Police Department (FL)"
"2704","Norman Police Department (OK)"
"2705","Haverford Police Department (PA)"
"2706","Dothan Police Dept (AL)"
"2707","Dallas County Sheriff's Department (AL)"
"2708","Yavapai County Sheriff (AZ)"
"2709","Cullman County Sheriff's Office (AL)"
"2710","Bedford Police Department (OH)"
"2711","Texas City Police Department (TX)"
"2712","Pickens Sheriff's Office (GA)"
"2713","Reedsport Police Department (OR)"
"2714","Berkeley Police Department (MO)"
"2715","Kenton County Sheriff's Office (KY)"
"2716","Minnesota State Police Department (MN)"
"2717","Deer Lodge Police Department (MT)"
"2718","Dover Police Department (DE)"
"2719","Marshalltown Police Department (IA)"
"2720","Costa Mesa Police Department (CA)"
"2721","Texarkana Police Department (TX)"
"2722","Ridgeland Police Department (MS)"
"2723","Mount Vernon Police Department (OH)"
"2724","Sevierville Police Department (TN)"
"2725","Poplar Bluff Police Departmnet (MO)"
"2726","Canon City Police Department (CO)"
"2727","Lake Station Police Department (IN)"
"2728","Lansing Township Police Department (MI)"
"2729","Trent Woods Police Department (NC)"
"2730","U.S. Marshals Service (SC)"
"2731","South Berwick Police Department (ME)"
"2732","York Police Department (ME)"
"2733","Elko Police Department (NV)"
"2734","Lewisville Police Department (TX)"
"2735","Versailles Police Department (MO)"
"2736","Morgan County Sheriff's Office (MO)"
"2737","Cleveland TN Police Department (TN)"
"2738","Bradenton Police Department (FL)"
"2739","Havasu Police Department (AZ)"
"2740","Sonora Police Department (CA)"
"2741","South Jordan Police Department (UT)"
"2742","Florida State University Police Department (FL)"
"2743","Centenary College Department of Public Safety (LA)"
"2744","Dunklin County Sheriff's Office (MO)"
"2745","Phillipsburg Police Department (NJ)"
"2746","Klamath County Sheriff's Department (OR)"
"2747","Klamath Falls Police Department"
"2748","Whatcom County Sheriff's Office (WA)"
"2749","McMinnville Police Department (OR)"
"2750","Chippewa County Sheriff's Department (WI)"
"2751","Boyceville police Department (WI)"
"2752","Butler Township Police Department (OH)"
"2753","Menlo Park Police Department (CA)"
"2754","Ann Arbor Police Department (MI)"
"2755","Westland Police Department (MI)"
"2756","Mitchell Police Department (SD)"
"2757","Sansom Park Police Department (TX)"
"2758","Jerome County Sheriff's Office (ID)"
"2759","University of Nevada"
"2760","Yakima County Sheriff's Office (WA)"
"2761","Lawrence County Sheriff's Office (OH)"
"2762","Highland Park Police Department (IL)"
"2763","Akron County Police Department (OH)"
"2764","Cedar County Sheriff's Office (MO)"
"2765","Maplewood Police Department (MN)"
"2766","Natchitoches Parish Sheriff's Office (LA)"
"2767","Suisun City Police Department (CA)"
"2768","Gretna Police Department (FL)"
"2769","Bedford County Sheriff's Office (VA)"
"2770","Maywood Police Department (IL)"
"2771","Cumberland County Sheriff's Office (NC)"
"2772","Easton and Palmer Township Police Departments (PA)"
"2773","U.S. Border Patrol (AZ)"
"2774","Dartmouth Police Department (MA)"
"2775","California Highway Patrol (NV)"
"2776","Prince Georges Sheriff's Office (MD)"
"2777","Bellmead Police Department (TX)"
"2778","South Euclid Police Department (OH)"
"2779","Searcy County Sheriff's Department (AR)"
"2780","Arkansas State Troopers (AR)"
"2781","Warrior Police Department (AL)"
"2782","Rocky Ford Police Department (CO)"
"2783","East Metro SWAT Team (MN)"
"2784","Paramus Police Department (NJ)"
"2785","McLennan County Sheriff's Office (TX)"
"2786","New London Police Department (CT)"
